store,item,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,day_32,day_33,day_34,day_35,day_36,day_37,day_38,day_39,day_40,day_41,day_42,day_43,day_44,day_45,day_46,day_47,day_48,day_49,day_50,day_51,day_52,day_53,day_54,day_55,day_56,day_57,day_58,day_59,day_60,day_61,day_62,day_63,day_64,day_65,day_66,day_67,day_68,day_69,day_70,day_71,day_72,day_73,day_74,day_75,day_76,day_77,day_78,day_79,day_80,day_81,day_82,day_83,day_84,day_85,day_86,day_87,day_88,day_89,day_90
1,1,39.41867,40.666126,40.964996,42.4377,41.60843,40.02562,40.522045,40.97238,40.490128,42.132843,40.079998,41.92261,39.217094,43.77197,39.402172,40.910862,40.81462,42.845554,41.262577,42.52026,40.59568,40.153763,41.797966,40.276577,42.83574,42.006733,43.16497,42.414642,42.292515,41.306133,41.169205,42.421513,39.946068,43.732967,39.970963,42.50489,43.000877,40.904984,42.303932,40.94589,39.898666,39.06279,41.22994,40.93886,42.631527,41.76605,43.449318,39.987865,40.640877,41.08729,39.512558,41.56918,40.09887,40.969524,41.33005,43.55859,41.817657,40.113106,42.831932,40.87746,41.451183,43.275513,39.428818,41.90638,42.91197,39.777813,42.79414,41.82961,41.138237,40.644352,43.30661,42.71968,45.130466,42.49822,42.112484,44.740837,42.724983,41.086594,42.3381,41.154232,43.08503,40.402637,41.303707,41.326023,44.12004,39.51004,42.467636,42.90341,40.041775,43.13804
1,2,41.11461,42.369427,42.43691,43.778065,42.762234,41.51612,42.02323,42.57418,42.285625,43.711864,41.784576,43.408768,41.144814,45.52715,41.435814,42.524567,42.68066,43.955826,43.21768,44.28451,42.30475,41.54853,43.417175,41.709152,44.203606,43.49362,44.613445,43.807133,43.836052,42.3139,42.63562,43.791676,41.66278,45.2151,41.875042,44.35085,44.729282,42.71052,44.16288,42.805733,41.846687,41.023087,42.663,42.678356,44.528145,42.823925,44.911766,41.25333,42.232212,42.699852,41.160583,43.231785,41.368103,42.27388,42.905144,45.1138,43.48276,41.606625,44.299656,42.417576,43.04191,44.866093,40.9896,43.304485,44.61445,41.55716,44.145866,43.635403,42.61996,42.106773,44.775864,44.34006,46.636772,44.200104,43.501087,46.179367,44.367622,42.452343,43.612812,42.9579,44.80603,42.261124,43.317738,43.00593,45.853054,41.311577,44.079792,44.618942,42.030045,44.742474
1,3,39.859814,41.11337,41.331608,42.753235,41.884315,40.417336,40.893063,41.36986,40.947357,42.55029,40.518147,42.299046,39.714123,44.221214,39.93698,41.294662,41.31125,43.113243,41.773952,42.99903,41.037766,40.493237,42.232056,40.671337,43.178215,42.371964,43.548347,42.754898,42.683422,41.558395,41.55721,42.76954,40.389473,44.108185,40.460365,42.98103,43.426407,41.376537,42.80219,41.419342,40.401688,39.578506,41.58716,41.381683,43.128223,42.03744,43.82549,40.32135,41.065178,41.521954,39.942616,42.00727,40.432262,41.321907,41.750618,43.98444,42.263996,40.500275,43.221653,41.285686,41.886444,43.720055,39.854877,42.25869,43.367256,40.2412,43.16258,42.308052,41.542465,41.038315,43.70868,43.16556,45.523796,42.946987,42.50479,45.131702,43.189713,41.456047,42.676666,41.6288,43.508183,40.88869,41.832996,41.77577,44.573154,39.97306,42.88985,43.370857,40.58818,43.590332
1,4,38.998566,40.212257,40.533062,41.986435,41.18784,39.633823,40.080395,40.529686,40.066185,41.735306,39.68326,41.488712,38.720715,43.34385,38.93326,40.434834,40.479977,42.459557,40.79602,42.09783,40.187763,39.726612,41.354736,39.865063,42.432575,41.544956,42.675797,42.003017,41.79377,40.86829,40.75244,42.054424,39.48322,43.34444,39.56029,42.090275,42.626766,40.447647,41.869755,40.482883,39.42049,38.62302,40.765133,40.510387,42.202873,41.35732,43.056816,39.578644,40.186142,40.608627,39.04326,41.119804,39.63062,40.565807,40.8993,43.150345,41.39904,39.677288,42.36891,40.409042,41.04146,42.81627,38.96149,41.442192,42.52701,39.375584,42.37778,41.386276,40.678005,40.209373,42.860603,42.300404,44.70519,42.07344,41.678207,44.34845,42.248528,40.616356,41.924526,40.71619,42.683697,39.948006,40.875534,40.91402,43.713104,39.101772,41.967674,42.509583,39.682346,42.70435
1,5,38.97509,40.252792,40.574615,42.04039,41.21374,39.598904,40.09572,40.551834,40.061207,41.73292,39.64075,41.50903,38.7948,43.365475,38.96102,40.503834,40.350605,42.471874,40.82933,42.10913,40.17648,39.72472,41.386234,39.87092,42.44518,41.617725,42.7796,42.028873,41.89434,40.942932,40.76046,42.008747,39.519257,43.328197,39.520317,42.07926,42.548504,40.498512,41.880856,40.497334,39.44657,38.612965,40.8428,40.51906,42.228367,41.39183,43.055332,39.58673,40.226246,40.698418,39.100662,41.145744,39.702713,40.588192,40.910103,43.16447,41.38587,39.6954,42.416134,40.48171,41.020294,42.882496,38.99225,41.5055,42.49193,39.328636,42.39868,41.400784,40.731815,40.227665,42.918465,42.320328,44.738697,42.078003,41.694714,44.352154,42.329,40.667736,41.94802,40.72522,42.67273,39.956245,40.830334,40.89404,43.7068,39.06215,42.062275,42.482666,39.583195,42.725975
1,6,40.808758,42.104294,42.20623,43.48697,42.5199,41.213005,41.721428,42.277122,42.00807,43.39559,41.453976,43.14925,40.820107,45.227497,41.13255,42.25287,42.417843,43.700783,42.92526,43.975758,42.078827,41.289898,43.111073,41.462326,43.9451,43.28512,44.338886,43.567204,43.533985,42.07259,42.34631,43.51985,41.36248,44.972874,41.513073,43.999863,44.338097,42.39819,43.837364,42.42725,41.47634,40.68338,42.413662,42.388706,44.22424,42.601284,44.630444,41.008595,41.9578,42.428856,40.861137,42.915424,41.101532,42.040955,42.643456,44.831066,43.137375,41.298954,43.99617,42.14221,42.67432,44.619682,40.676517,43.024734,44.30171,41.20721,43.807854,43.28112,42.316284,41.81975,44.47005,44.01928,46.317448,43.869186,43.240963,45.873306,44.034233,42.11324,43.314667,42.629715,44.51311,41.882057,42.86327,42.6758,45.548065,40.97189,43.79369,44.311974,41.703636,44.439934
1,7,40.84508,42.111435,42.203976,43.5197,42.53285,41.25654,41.74622,42.30147,42.023403,43.429825,41.4987,43.16743,40.843582,45.25133,41.14673,42.25986,42.44664,43.719387,42.94489,44.0073,42.07523,41.30412,43.139584,41.467163,43.963703,43.26802,44.34601,43.576595,43.555656,42.078564,42.37618,43.549263,41.389618,44.990974,41.56804,44.060444,44.421894,42.423084,43.870567,42.489307,41.51962,40.723118,42.41222,42.408195,44.247692,42.597183,44.65491,41.014034,41.973824,42.431282,40.87797,42.94492,41.108543,42.044292,42.652138,44.856018,43.190594,41.323586,44.028408,42.154602,42.73247,44.61263,40.71014,43.044888,44.340954,41.25341,43.85973,43.332943,42.342487,41.844162,44.4995,44.06283,46.35518,43.910866,43.257862,45.915813,44.07614,42.155895,43.35401,42.666718,44.538437,41.941765,42.967316,42.72039,45.584633,41.023113,43.808533,44.338802,41.747135,44.469612
1,8,45.8958,47.159645,47.106148,48.419216,47.41626,46.148262,46.883507,47.366817,46.974762,48.225475,46.494297,48.027313,45.889492,49.911964,46.23091,47.27914,47.432983,48.334858,47.862335,48.649525,47.047523,46.31971,47.93072,46.481567,48.660957,48.271297,49.24195,48.392536,48.341976,46.815002,47.216846,48.337654,46.434055,49.65228,46.588474,48.694324,49.22565,47.338875,48.63745,47.462902,46.787506,45.84071,47.43991,47.30662,48.97066,47.468834,49.301403,45.97872,46.891678,47.369873,45.88854,47.847553,46.14601,46.898464,47.700253,49.561752,48.114788,46.367935,48.937943,46.96916,47.622036,49.464333,45.782085,47.956116,49.156933,46.32716,48.403893,48.08787,47.196033,46.774208,49.175297,48.59445,50.933273,48.623608,48.09607,50.30553,48.740555,47.126312,48.048523,47.61327,49.258965,46.868927,47.783558,47.62212,50.34364,46.06098,48.760395,49.050697,46.76471,49.189228
1,9,40.49071,41.745445,41.866688,43.238735,42.299385,40.971035,41.45504,41.95508,41.617325,43.134853,41.14838,42.849648,40.43564,44.882057,40.699238,41.889946,42.002403,43.52159,42.503838,43.664165,41.665634,41.012035,42.84022,41.199593,43.68523,42.91574,44.083595,43.267323,43.268253,41.920815,42.096245,43.267857,41.03084,44.657463,41.17945,43.683224,44.085854,42.04694,43.503414,42.124317,41.132553,40.30946,42.105198,42.041977,43.836994,42.41363,44.35842,40.781906,41.659138,42.116566,40.553394,42.63357,40.892788,41.787804,42.328236,44.554173,42.888596,41.053238,43.76581,41.860306,42.490364,44.308853,40.432808,42.77177,43.994965,40.90665,43.67451,42.99284,42.09689,41.575512,44.256733,43.773624,46.085712,43.584106,43.021717,45.67548,43.800106,41.95939,43.137794,42.302776,44.148594,41.596592,42.6067,42.400723,45.207916,40.645477,43.4884,44.015312,41.326664,44.19019
1,10,44.374172,45.649128,45.631927,46.927906,45.88342,44.623302,45.314953,45.86795,45.526516,46.795963,45.016293,46.54909,44.46038,48.57603,44.801235,45.812332,45.932896,46.885204,46.457634,47.299107,45.564873,44.77245,46.49017,44.90122,47.221962,46.76049,47.762253,46.918575,46.91945,45.316566,45.736732,46.86802,44.92053,48.234203,45.11317,47.34082,47.80042,45.917004,47.262676,46.014072,45.26349,44.358704,45.925884,45.8554,47.638515,45.922264,47.91049,44.41752,45.405727,45.893818,44.410095,46.391697,44.59115,45.387962,46.16523,48.138046,46.62238,44.834507,47.43028,45.524796,46.137455,48.007984,44.228607,46.463814,47.73056,44.83555,46.994034,46.696175,45.710587,45.262074,47.760742,47.243954,49.574394,47.25484,46.573105,48.96499,47.352413,45.59803,46.585426,46.1568,47.90176,45.42853,46.38351,46.15032,48.96824,44.56003,47.276062,47.6673,45.29861,47.759335
